"ID","DELETE_FLAG","CLUB_MEMO","LEADERS_ID","CLUB_NAME"
"1","true","プログラミングをするための部","4","prog部"
"2","false","web部","5","web部"
"8","false","CGを主に描くことを目的とするが2次元的な絵も描く","6","CG部"
"10","false","音楽を作ってる部","10","DTM部"
"12","false","パソコンの自作を行っている部","8","自作部"
"14","true","麻雀をするためだけの部","9","麻雀部"
"15","true","いぐいぐ愛でる部活","7","生物部"
"16","true","ますだの変態性を研究する部","11","マスダ部"
"17","true","栄養管理士を目指す部活","12","栄養管理部"
"18","true","漫画の研究をする部

漫画","13","漫画部"
"19","true","帰宅するだけのぶ

帰宅部","14","帰宅部"
"20","true","藤宮さん",,"藤宮部"
"21","true","偽りのカップルを演じる部",,"ニセコイ部"
"22","true","ぺちゃ",,"ぺちゃ"
"23","true","新規の部１",,"新規の部１"
"24","true","新規の部２",,"新規部2"
"25","true","あああああ",,"新規の部３"
"26","false","メールのテスト","22","メールテスト"
