"ID","MEMBER_ID","MAIL_ID"
"1","4","1"
"2","40","1"
"3","3","2"
"4","4","2"
"5","11","2"
"6","5","2"
"7","6","2"
"8","8","2"
"9","9","2"
"10","40","2"
"11","10","2"
"12","12","2"
"13","13","2"
"14","15","2"
"15","16","2"
"16","17","2"
"17","19","2"
"18","20","2"
"19","21","2"
"20","22","2"
"21","23","2"
"22","26","2"
"23","27","2"
"24","30","2"
"25","32","2"
"26","33","2"
"27","34","2"
"28","35","2"
"29","37","2"
"30","41","2"
"31","43","2"
"32","44","2"
"33","45","2"
"34","46","2"
"35","40","3"
"36","4","4"
"37","4","5"
"38","4","6"
"39","2","7"
"40","3","7"
"41","7","7"
"42","9","7"
"43","29","7"
"44","12","7"
"45","15","7"
"46","16","7"
"47","18","7"
"48","20","7"
"49","27","7"
"50","28","7"
"51","33","7"
"52","34","7"
"53","38","7"
"54","43","7"
"55","44","7"
"56","45","7"
"57","11","8"
"58","9","8"
"59","12","8"
"60","18","8"
"61","22","8"
