"ID","PARTY_ID","MEMBER_ID","ATTEND"
"1","1","1","false"
"2","1","2","false"
"3","1","3","false"
"4","3","4","false"
"5","3","1","false"
"6","1","4","false"
"7","2","2","false"
"8","1","11","true"
"9","1","12","true"
"10","1","10","true"
"11","4","14","true"
"12","4","11","true"
"13","4","12","true"
"14","4","3","true"
"15","4","2","true"
"16","4","10","true"
"17","2","11","true"
"18","2","12","true"
"19","2","3","true"
"20","2","10","true"
"21","2","1","true"
"22","1","14","true"
"23","1","7","true"
"24","1","6","true"
"25","1","5","true"
"26","1",,"true"
