"ID","ATTEND","MEMBER_ID","PARTY_ID"
"1","1","2","1"
"2","1","3","1"
"3","1","4","1"
"4","1","5","1"
"5","2","6","1"
"6","1","7","1"
"7","1","8","1"
"8","2","9","1"
"9","2","10","1"
"10","2","11","1"
"11","2","12","1"
"12","2","13","1"
"13","2","14","1"
"14","0","15","1"
"15","2","16","1"
"16","2","17","1"
"17","1","18","1"
"18","1","19","1"
"19","1","20","1"
"20","1","21","1"
"21","1","22","1"
"22","1","23","1"
"23","1","24","1"
"24","1","25","1"
"25","1","26","1"
"26","2","27","1"
"27","2","28","1"
"28","1","29","1"
"29","2","30","1"
"30","2","32","1"
"31","2","33","1"
"32","2","34","1"
"33","2","35","1"
"34","1","36","1"
"35","2","37","1"
"36","1","38","1"
"37","1","39","1"
"38","0","40","1"
"39","1","41","1"
"40","2","42","1"
"41","1","43","1"
"42","1","44","1"
"43","2","45","1"
"44","0","46","1"
"45","2","47","1"
"46","2","2","2"
"47","0","3","2"
"48","0","4","2"
"49","0","5","2"
"50","0","6","2"
"51","1","7","2"
"52","0","8","2"
"53","0","9","2"
"54","0","10","2"
"55","0","11","2"
"56","0","12","2"
"57","0","13","2"
"58","1","14","2"
"59","0","15","2"
"60","0","16","2"
"61","0","17","2"
"62","2","18","2"
"63","0","19","2"
"64","0","20","2"
"65","0","21","2"
"66","0","22","2"
"67","0","23","2"
"68","1","24","2"
"69","2","25","2"
"70","0","26","2"
"71","0","27","2"
"72","1","28","2"
"73","1","29","2"
"74","0","30","2"
"75","0","32","2"
"76","0","33","2"
"77","0","34","2"
"78","0","35","2"
"79","2","36","2"
"80","0","37","2"
"81","1","38","2"
"82","1","39","2"
"83","0","40","2"
"84","0","41","2"
"85","2","42","2"
"86","0","43","2"
"87","0","44","2"
"88","0","45","2"
"89","0","46","2"
"90","1","47","2"
"97","0","4","6"
"98","0","40","6"
"99","1","2","7"
"100","1","3","7"
"101","0","4","7"
"102","1","5","7"
"103","1","6","7"
"104","1","7","7"
"105","1","8","7"
"106","1","9","7"
"107","1","10","7"
"108","1","11","7"
"109","1","12","7"
"110","1","13","7"
"111","1","14","7"
"112","1","15","7"
"113","1","16","7"
"114","1","17","7"
"115","1","18","7"
"116","1","19","7"
"117","1","20","7"
"118","1","21","7"
"119","1","22","7"
"120","1","23","7"
"121","1","24","7"
"122","1","25","7"
"123","1","26","7"
"124","1","27","7"
"125","1","28","7"
"126","1","29","7"
"127","1","30","7"
"128","1","32","7"
"129","1","33","7"
"130","1","34","7"
"131","1","35","7"
"132","1","36","7"
"133","1","37","7"
"134","1","38","7"
"135","1","39","7"
"136","1","40","7"
"137","1","41","7"
"138","1","42","7"
"139","1","43","7"
"140","1","44","7"
"141","1","45","7"
"142","1","46","7"
"143","1","47","7"
