"ID","ATTEND","MEMBER_ID","PARTY_ID"
"1","1","5","33"
"2","1","5","34"
"3","2","2","38"
"4","1","5","38"
"5","2","12","38"
"6","2","16","38"
"7","0","28","38"
"8","1","31","38"
"9","0","34","38"
"10","0","35","38"
"11","0","38","38"
"12","2","31","37"
"13","0","34","39"
"14","0","5","39"
"15","0","12","39"
"16","0","31","39"
"17","1","5","35"
"25","1","40","34"
"26","0","2","42"
"27","0","5","42"
"28","0","12","42"
"29","0","16","42"
"30","0","19","42"
"31","0","26","42"
"32","0","28","42"
"33","0","31","42"
"34","0","34","42"
"35","0","35","42"
"36","0","36","42"
"37","0","37","42"
"38","0","38","42"
"39","0","39","42"
"40","0","40","42"
"41","0","2","43"
"42","0","5","43"
"43","0","12","43"
"44","0","16","43"
"45","0","28","43"
"46","0","31","43"
"47","0","34","43"
"48","0","35","43"
"49","0","38","43"
"50","0","39","43"
"51","0","40","43"
"52","0","2","44"
"53","0","5","44"
"54","0","12","44"
"55","0","16","44"
"56","0","28","44"
"57","0","31","44"
"58","0","34","44"
"59","0","35","44"
"60","0","38","44"
"61","0","39","44"
"62","0","40","44"
"63","0","41","44"
"64","0","42","44"
"65","0","44","44"
"66","0","2","45"
"67","0","5","45"
"68","0","12","45"
"69","0","16","45"
"70","0","28","45"
"71","0","31","45"
"72","0","34","45"
"73","0","35","45"
"74","0","38","45"
"75","0","39","45"
"76","0","40","45"
"77","0","41","45"
"78","0","42","45"
"79","1","44","45"
"80","0","2","46"
"81","0","5","46"
"82","0","12","46"
"83","0","16","46"
"84","0","28","46"
"85","0","31","46"
"86","0","34","46"
"87","0","35","46"
"88","0","38","46"
"89","0","39","46"
"90","0","40","46"
"91","0","41","46"
"92","0","42","46"
"93","0","44","46"
"94","2","44","42"
"95","0","2","47"
"96","0","5","47"
"97","1","12","47"
"98","1","16","47"
"99","1","28","47"
"100","0","31","47"
"101","0","34","47"
"102","0","35","47"
"103","0","38","47"
"104","0","39","47"
"105","0","40","47"
"106","0","41","47"
"107","0","42","47"
"108","0","44","47"
"109","0","2","48"
"110","0","5","48"
"111","0","12","48"
"112","0","16","48"
"113","0","28","48"
"114","1","31","48"
"115","0","34","48"
"116","0","35","48"
"117","1","38","48"
"118","0","39","48"
"119","0","40","48"
"120","1","41","48"
"121","1","42","48"
"122","0","44","48"
"123","0","2","49"
"124","2","5","49"
"125","0","12","49"
"126","0","16","49"
"127","0","28","49"
"128","0","31","49"
"129","0","34","49"
"130","0","35","49"
"131","0","38","49"
"132","1","39","49"
"133","0","40","49"
"134","1","41","49"
"135","1","42","49"
"136","0","44","49"
"137","0","2","50"
"138","1","5","50"
"139","0","12","50"
"140","0","16","50"
"141","0","28","50"
"142","0","31","50"
"143","0","34","50"
"144","0","35","50"
"145","0","38","50"
"146","0","39","50"
"147","0","40","50"
"148","0","41","50"
"149","0","42","50"
"150","0","44","50"
"151","0","34","59"
"152","0","46","59"
"153","0","12","59"
"154","0","5","59"
"156","0","31","59"
"157","0","12","60"
"158","0","46","60"
"159","0","5","60"
"161","0","34","60"
"162","0","31","60"
"163","0","46","61"
"164","0","34","61"
"165","0","31","61"
"166","0","5","61"
"168","0","12","61"
"169","0","12","62"
"170","0","46","62"
"171","0","5","62"
"172","0","31","62"
"174","0","34","62"
"175","0","46","63"
"176","0","34","63"
"177","0","12","63"
"179","0","31","63"
"180","0","5","63"
"181","0","12","64"
"182","0","31","64"
"183","0","46","64"
"184","0","34","64"
"185","0","5","64"
"186","0","34","65"
"187","0","12","65"
"188","0","46","65"
"189","0","5","65"
"190","0","31","65"
"191","0","46","66"
"192","0","5","66"
"193","0","34","66"
"194","1","31","66"
"195","0","12","66"
"196","0","2","67"
"197","0","5","67"
"198","0","12","67"
"199","0","31","67"
"200","0","34","67"
"201","0","38","67"
"202","0","45","67"
"203","0","46","67"
"204","0","2","68"
"205","0","5","68"
"206","0","12","68"
"207","0","34","68"
"208","0","38","68"
"209","0","45","68"
"210","0","46","68"
