"ID","ATTEND","MEMBER_ID","PARTY_ID"
"1","1","1","1"
"2","1","2","1"
"3","0","3","1"
"4","2","4","1"
"5","1","5","1"
"6","0","6","1"
"7","1","1","2"
"8","1","2","2"
"9","0","3","2"
"10","0","4","2"
"11","0","5","2"
"12","1","6","2"
"13","1","1","3"
"14","0","2","3"
"15","0","3","3"
"16","0","4","3"
"17","1","5","3"
"18","1","6","3"
"19","1","1","4"
"20","1","2","4"
"21","0","3","4"
"22","1","4","4"
"23","0","5","4"
"24","0","6","4"
"25","0","1","5"
"26","0","2","5"
"27","0","3","5"
"28","0","4","5"
"29","0","5","5"
"30","0","6","5"
