"ID","MEMBER_ID","MAIL_ID"
"1","1","1"
"2","1","2"
"3","1","3"
"4","2","4"
"5","1","5"
"6","2","5"
"7","3","5"
"8","1","8"
"9","4","12"
"10","1","13"
"11","4","13"
"12","5","13"
"13","1","14"
"14","4","14"
"15","5","14"
"16","1","15"
"17","4","16"
"18","2","17"
"19","1","18"
"20","4","18"
"21","2","18"
"22","6","18"
"23","3","18"
"24","5","18"
"25","1","19"
"26","4","19"
"27","2","19"
"28","6","19"
"29","3","19"
"30","5","19"
"31","1","20"
"32","4","20"
"33","2","20"
"34","6","20"
"35","3","20"
"36","5","20"
"37","1","21"
"38","4","21"
"39","2","21"
"40","6","21"
"41","3","21"
"42","5","21"
"43","1","22"
"44","4","22"
"45","2","22"
"46","6","22"
"47","3","22"
"48","5","22"
"49","1","23"
"50","2","23"
"51","3","23"
"52","4","23"
"53","5","23"
"54","6","23"
"55","1","24"
"56","4","24"
"57","2","24"
"58","6","24"
"59","3","24"
"60","5","24"
"61","1","25"
"62","4","25"
"63","2","25"
"64","6","25"
"65","3","25"
"66","5","25"
"67","1","26"
"68","4","26"
"69","2","26"
"70","6","26"
"71","3","26"
"72","5","26"
"73","1","27"
"74","4","27"
"75","2","27"
"76","6","27"
"77","3","27"
"78","5","27"
"79","1","28"
"80","4","28"
"81","2","28"
"82","6","28"
"83","3","28"
"84","5","28"
