"ID","PARTY_ID","MEMBER_ID","ATTEND"
"1","1","1","true"
"4","3","4","false"
"5","3","1","false"
"6","1","4","true"
"7","2","2","true"
"8","2","13","false"
"9","2","14","false"
"10","2","11","false"
"11","1","13","true"
"12","1","14","true"
"13","1","11","true"
"14","1","12","false"
"15","1","3","false"
"16","1","2","false"
"17","1","10","false"
"18","7","12","true"
"19","7","3","true"
"20","7","2","true"
"21","7","1","true"
"22","7","7","true"
"23","7","6","true"
"24","7","5","true"
"26","2","7","true"
"27","2","6","true"
"28","7","13","false"
"29","7","14","false"
"30","7","11","false"
"31","7","10","false"
"32","7","9","false"
"33","7","8","false"
