"ID","CLUB_ID","MEMBER_ID"
"1","1","7"
"3","3","8"
"5","1","12"
"6","4","12"
"7","3","13"
"8","3","14"
"9","1","16"
"10","3","17"
"11","1","18"
"12","4","18"
"13","1","38"
"15","3","47"
"16","1","2"
"17","1","15"
"18","3","23"
"19","3","25"
"20","3","26"
"21","1","27"
"22","2","27"
"23","3","27"
"24","1","28"
"25","1","29"
"26","3","35"
"28","3","41"
"29","1","45"
"30","1","3"
"31","2","5"
"33","1","9"
"34","4","9"
"35","3","19"
"36","1","20"
"37","3","21"
"38","3","22"
"39","4","22"
"41","1","33"
"42","2","33"
"43","3","36"
"44","3","39"
"45","3","10"
"48","3","30"
"50","1","34"
"51","3","42"
"52","1","43"
"53","3","43"
"56","5","4"
"57","5","40"
"58","2","11"
"59","4","11"
"60","5","11"
"61","3","32"
"62","2","6"
"63","3","37"
"64","5","51"
"65","3","24"
"66","2","52"
"67","1","44"
"69","5","53"
