"ID","CLUB_ID","MEMBER_ID"
"4","1","4"
"8","1","8"
"9","1","9"
"10","1","10"
"48","1","16"
"50","10","17"
"51","1","17"
"52","14","16"
"56","2","18"
"57","14","18"
"58","15","18"
"59","1","6"
"60","2","6"
"61","10","6"
"62","15","6"
"69","2","19"
"91","1","7"
"98","1","13"
"99","2","13"
"100","2","15"
"101","10","15"
"106","16","20"
"107","1","20"
"108","12","20"
"109","14","20"
"110","16","1"
"111","1","1"
"112","2","1"
"113","10","1"
"114","12","1"
"115","14","1"
"116","15","1"
"117","1","2"
"121","18","15"
"123","1","23"
"124","8","3"
"125","2","24"
"126","10","24"
"128","10","25"
"131","10","27"
"136","2","26"
"137","10","26"
"138","2","14"
"139","10","14"
"140","20","27"
"142","2","22"
"143","21","22"
"144","10","22"
"155","21","29"
"156","20","30"
"161","21","7"
"167","2","32"
"168","10","32"
"169","2","33"
"172","2","34"
"173","8","35"
"175","8","2"
"176","10","2"
"184","2","12"
"185","10","12"
"186","10","16"
"187","10","36"
"188","12","37"
"190","12","5"
"191","8","38"
"192","22","2"
"193","22","39"
"196","22","40"
"198","12","28"
"203","10","42"
"204","2","43"
"206","23","5"
"207","24","5"
"208","25","5"
"212","2","41"
"213","26","41"
"217","2","44"
"219","26","40"
"227","2","46"
"228","27","46"
"229","29","46"
"235","2","5"
"236","27","5"
"237","29","5"
"238","28","5"
"239","30","5"
"242","2","31"
