"ID","ERROR_FLAG","CONTENT","TITLE","REGIST_MEMBER_ID"
"1",,"初めてのメール送信てすとです","メール送信テスト","7"
"2",,"メールの送信テスト２
メールの送信テスト２
メールの送信テスト２
メールの送信テスト２
メールの送信テスト２
メールの送信テスト２
","メールの送信テスト","7"
"3",,"メールの送信テスト３
メールの送信テスト３
メールの送信テスト３
メールの送信テスト３","メールの送信テスト","7"
"4",,"メールの送信テスト４
メールの送信テスト４
メールの送信テスト４
メールの送信テスト４
メールの送信テスト４
メールの送信テスト４
メールの送信テスト４
メールの送信テスト４","メールの送信てすと","7"
"5",,"メールの送信テスト５
メールの送信テスト５
メールの送信テスト５
メールの送信テスト５


メールの送信テスト５
メールの送信テスト５


メールの送信テスト５

メールの送信テスト５","メールの送信テスト","7"
"6",,"asdfasdf","メールの送信てすと","7"
"7",,"メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」","メールの送信テスト「５月の飲み会のお知らせ」","14"
"8",,"「前期総会のお知らせ」
「前期総会のお知らせ」「前期総会のお知らせ」
「前期総会のお知らせ」
「前期総会のお知らせ」
「前期総会のお知らせ」「前期総会のお知らせ」
「前期総会のお知らせ」","「前期総会のお知らせ」","7"
"9",,"メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
","メールの送信テスト「５月の飲み会のお知らせ」","7"
"10",,"メールの送信テスト
メールの送信テスト
メールの送信テスト
メールの送信テスト
メールの送信テスト
メールの送信テスト
","メールの送信テスト","7"
"11",,"あああ","メールの送信てすと","7"
"12",,"test","test","7"
"13",,"aaa","会議新規登録によるメールの配信テスト","7"
"14",,"不達テストです","test","7"
"15",,"test","test","23"
"16",,"tetete","tet","28"
"17","false","会議名:　部活で絞らない会議
会議内容: ああああ
開催日時: 2014-06-0510:00:00
開催日時: 2014-07-10

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　部活で絞らない会議",
"18","false","会議名:　部活で絞る
会議内容: aa
開催日時: 2014-06-3010:00:00
開催日時: 2014-07-12

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　部活で絞る",
"19","false","会議名:　2300
会議内容: aaaaa
開催日時: 2014-06-0810:00:00
開催日時: 2014-07-10

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　2300",
"20","false","会議名:　部活で絞らない会議
会議内容: ああああ
開催日時: 2014-06-0510:00:00
開催日時: 2014-07-10

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　部活で絞らない会議",
"21","false","会議名:　部活で絞る
会議内容: aa
開催日時: 2014-06-3010:00:00
開催日時: 2014-07-12

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　部活で絞る",
"22","false","会議名:　2300
会議内容: aaaaa
開催日時: 2014-06-0810:00:00
開催日時: 2014-07-10

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　2300",
"23","true","会議名:　部活で絞らない会議
会議内容: ああああ
開催日時: 2014-06-0510:00:00
開催日時: 2014-07-10

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　部活で絞らない会議",
"24","true","会議名:　部活で絞る
会議内容: aa
開催日時: 2014-06-3010:00:00
開催日時: 2014-07-12

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　部活で絞る",
"25","true","会議名:　2300
会議内容: aaaaa
開催日時: 2014-06-0810:00:00
開催日時: 2014-07-10

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　2300",
